Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,Latitude,Longitude,,,,,,,,,,,,
Davenport Vineyard - Rotherfield,East Sussex,TN6 3RR,England,www.davenportvineyards.co.uk,1.2174,51.02929,0.20629,,,,,,,,,,,,
Daws Hill Vineyard,Buckinghamshire,HP14 4DY,England,www.dawshillvineyard.co.uk,1.7862,51.67417,-0.86891,,,,,,,,,,,,
Deans Farm Vineyard,Hampshire,GU32 3NP,England,Not Available,0.1482,50.9924,-0.96832,,,,,,,,,,,,
Dedham Vale Vineyard,Essex,CO4 5TS,England,www.dedhamvalevineyard.com,2.61,51.95425,0.88864,,,,,,,,,,,,
Dedham Vale Vineyard,Suffolk,Not known,England,Not Available,0.57,51.954104,0.8953,,,,,,,,,,,,
Denbies Wine Estate,Surrey,RH5 6AA,England,www.denbies.co.uk,89.7,51.24815,-0.33183,,,,,,,,,,,,
Devil's Hill Vineyard,Oxfordshire,RG9 2DN,England,www.facebook.com/devilshillvineyard,0.162,51.54064,-0.90686,,,,,,,,,,,,
Dillions Vineyard,West Sussex,RH17 6HH,England,Not Available,3.5,51.04881,-0.17572,,,,,,,,,,,,
Dingleden Vineyard,Kent,TN17 4JX,England,Not Available,2,51.04347,0.59314,,,,,,,,,,,,
Dinton Vineyard,Buckinghamshire,HP17 8UF,England,dintonwines.com,0.8,51.79584,-0.88268,,,,,,,,,,,,
Docuras Vineyard,Essex,CO4 5QB,England,Not Available,0.7313,51.96506,0.94981,,,,,,,,,,,,
Doles Ash Farm Vineyard,Dorset,DT2 7RE,England,Not Available,0.75,50.80198,-2.3957,,,,,,,,,,,,
Double Hedges Vineyard,Bedfordshire,LU5 6BT,England,www.griffinfarmvineyard.co.uk,1.05,51.94899,-0.53053,,,,,,,,,,,,
Downsview Vineyard,East Sussex,TN6 3RG,England,www.downsviewvineyard.co.uk,0.65,51.03447,0.17844,,,,,,,,,,,,
Downton Vineyard (Off Beat Wines),Wiltshire,SP5 3NW,England,www.botleysfarm.co.uk,1,50.99258,-1.79519,,,,,,,,,,,,
Downwood Vineyards,Dorset,DT11 9HN,England,Not Available,Not known,50.86028,-2.12933,,,,,,,,,,,,
Dreaming Squires Vineyard,Oxfordshire,OX44 7JT,England,facebook.com/DreamingSquiresVineyard,0.344,51.71258,-1.08033,,,,,,,,,,,,
Dropmore Vineyard,Buckinghamshire,SL1 8NF,England,www.dropmorewines.co.uk,0.75,51.56197,-0.6581,,,,,,,,,,,,
Dunesforde Vineyard,North Yorkshire,YO26 9RX,England,www.dunesforde.com,1.61,54.06846,-1.32665,,,,,,,,,,,,
Dunleavy Vineyards,North Somerset,BS40 5RS,England,www.dunleavyvineyards.co.uk,0.68,51.35506,-2.75167,,,,,,,,,,,,
Dunley Vineyard,Hampshire,RG28 7PU,England,Not Available,0.2,51.2791,-1.35673,,,,,,,,,,,,
D'Urberville Wine Estate,Dorset,DT2 9SJ,England,www.durbervillevineyard.co.uk,1.6903,50.73015,-2.4763,,,,,,,,,,,,
Durslade Vineyard,Somerset,BA10 0JH,England,Not Available,1.6236,51.12282,-2.42803,,,,,,,,,,,,
Eades Vineyard,Worcestershire,WR8 0QN,England,Not Available,2.12,52.05395,-2.23211,,,,,,,,,,,,
Earlsdale Vineyard,Shropshire,SY5 0UJ,England,Not Available,0.1,52.64649,-2.8704,,,,,,,,,,,,
Easing Hill Vineyard (Chapel House),Worcestershire,WR6 5PA,England,www.easinghillvineyard.co.uk,1.25,52.20922,-2.36928,,,,,,,,,,,,
East Malling Research Station Vineyard,Kent,ME19 6BJ,England,www.emr.ac.uk,0.7,51.28786,0.43834,,,,,,,,,,,,
East Meon Vineyard,Hampshire,GU32 1NJ,England,www.eastmeonvineyard.co.uk,0.4,50.99564,-1.03048,,,,,,,,,,,,
Ebernoe Vineyard,West Sussex,GU28 9LH,England,Not Available,1,51.03789,-0.63196,,,,,,,,,,,,
Edenberry Vineyard,East Sussex,TN5 7DT,England,Not Available,2.5,51.03023,0.38795,,,,,,,,,,,,
Eglantine Vineyard,Nottinghamshire,LE12 6UX,England,www.eglantinevineyard.co.uk,1.276,52.84556,-1.15115,,,,,,,,,,,,
Elham Valley Vineyard,Kent,CT4 6LN,England,www.vineyardgardencentre.co.uk  ,0.3294,51.18655,1.14392,,,,,,,,,,,,
Elstree Vineyard,Wiltshire,SN14 6PH,England,Not Available,0.1673,51.56192,-2.22964,,,,,,,,,,,,
Elysian Fields Vineyard,Cambridgeshire,CB6 3HJ,England,Not Available,1,52.37123,0.24353,,,,,,,,,,,,
Enborne Vineyard (All Angels),West Berkshire,RG20 0HD,England,www.allangelsvineyard.co.uk,5.59,51.3895,-1.37532,,,,,,,,,,,,
English Oak Vineyard,Dorset,BH16 6BX,England,www.englishoakvineyard.co.uk,8.06,50.76268,-2.07604,,,,,,,,,,,,
Eridge Vineyard (Mike Warren Vyd),East Sussex,TN3 9LE,England,Not Available,0.2,51.08977,0.20213,,,,,,,,,,,,
Everflyht Vineyard (Chalk House),East Sussex,BN6 8XB,England,Not Available,2.637,50.9111,-0.11481,,,,,,,,,,,,
"Evremond, Domaine",Kent,ME13 9SD,England,www.domaineevremond.com,45.4624,51.26014,0.94863,,,,,,,,,,,,
Exton Park Vineyard,Hampshire,SO32 3NW,England,www.extonparkvineyard.com,19.32,50.9829,-1.13581,,,,,,,,,,,,
Eynsfordhill Vineyard,Kent,DA4 0JL,England,Not Available,1.27,51.37251,0.2056,,,,,,,,,,,,
Failand Farm Vineyard,North Somerset,BS8 3TR,England,www.wildwestwines.co.uk,0.115,51.45004,-2.68781,,,,,,,,,,,,
Fairmile Vineyard,Oxfordshire,RG9 2LA,England,www.fairmilevineyard.co.uk,2.892,51.54726,-0.91494,,,,,,,,,,,,
Fairview Vineyard Ltd,Cheshire,SY14 8LL,England,Not Available,0.1,53.06727,-2.74452,,,,,,,,,,,,
Far Acre Farm Vineyard,Kent,TN12 9LT,England,www.faracrefarm.co.uk,0.81,51.15939,0.4851,,,,,,,,,,,,
Farnell Estate - Benenden Vineyard,Kent,TN17 4PH,England,www.farnellfarm.co.uk,0.04,51.04206,0.60183,,,,,,,,,,,,
Farnell Estate - Rolvenden Vineyard,Kent,TN17 4PH,England,www.farnellfarm.co.uk,2.0234,51.04206,0.60183,,,,,,,,,,,,
Fawley Vineyard,Buckinghamshire,RG9 6JA,England,Not Available,0.262,51.57002,-0.91317,,,,,,,,,,,,
Feeringbury Vineyard,Essex,CO5 9RB,England,Not Available,5.7505,51.861,0.70555,,,,,,,,,,,,
Fenny Castle Vineyard,Somerset,BA5 1NL,England,www.fennycastlevineyard.co.uk,1.2,51.20335,-2.69915,,,,,,,,,,,,
Fernhurst Vineyard,Surrey,GU27 3NW,England,Not Available,0.8097,51.05504,-0.72573,,,,,,,,,,,,
Ffynnon Lefrith,Carmarthenshire,SA18 3JH,Wales,Not Available,0.4,51.82663,-4.02029,,,,,,,,,,,,
Field Barn Vineyard,Dorset,DT11 0HT,England,www.fieldbarnfarm.co.uk,0.25,50.79186,-2.2457,,,,,,,,,,,,
First Light Vineyard,Kent,CT15 6BA,England,Not Available,0.0478,51.15715,1.37391,,,,,,,,,,,,
Five Acres Vineyard,Kent,BR6 7HQ,England,www.westfisher.co.uk,0.66,51.33945,0.05499,,,,,,,,,,,,
Fizzical Vineyard,Kent,ME13 0SU,England,Not Available,1.6875,51.3162,0.83237,,,,,,,,,,,,
Fleurfields Vineyard,Northamptonshire,NN6 9DQ,England,www.fleurfields.co.uk,1.5,52.31398,-0.90602,,,,,,,,,,,,
Flint Vineyard,Norfolk,NR35 2AH,England,www.flintvineyard.com,5.9,52.45027,1.3919,,,,,,,,,,,,
Fluxton Vineyard,Devon,EX5 2FH,England,Not Available,0.0396,50.7166,-3.36281,,,,,,,,,,,,
Fordlands Farm Vineyard,East Sussex,TN33 9BT,England,Not Available,0.36,50.88444,0.47391,,,,,,,,,,,,
Forest Edge Vineyard,Hampshire,SP6 2NW,England,www.swallowfinewine.co.uk,0.1349,50.97465,-1.72061,,,,,,,,,,,,
Forstal Farm Vineyard,East Sussex,TN31 6YD,England,Not Available,3.4413,50.97657,0.68483,,,,,,,,,,,,
Forty Hall Vineyard,London,EN2 9HA,England,www.fortyhallvineyard.org.uk,4.04,51.66979,-0.06857,,,,,,,,,,,,
Four Acres Estate,Hertfordshire,SG11 2AW,England,www.fouracresestate.co.uk,0.3,51.86997,0.07669,,,,,,,,,,,,
Four Oaks Vineyard,Northamptonshire,NN3 7RT,England,Not Available,0.0893,52.29756,-0.86409,,,,,,,,,,,,
Fowlers Vineyard,West Sussex,RH14 9DY,England,Not Available,0.1,50.99534,-0.4361,,,,,,,,,,,,
Fox & Fox - Hobdens Vineyard,East Sussex,TN20 6HH,England,www.foxandfox.wine,1.4,51.01194,0.24022,,,,,,,,,,,,
Foxbury Fields Vineyard,Herefordshire,HR8 1PB,England,Not Available,0.4,51.9947,-2.37685,,,,,,,,,,,,
Friday Street Vineyard,Kent,ME17 3DD,England,www.fridaystreetfarm.co.uk,4.35,51.21328,0.61291,,,,,,,,,,,,
Frithsden Vineyard,Hertfordshire,HP1 3DD,England,Not Available,1.232,51.77861,-0.52807,,,,,,,,,,,,
Froginwell Vineyard,Devon,EX5 1EP,England,www.froginwellvineyard.co.uk,0.4,50.70536,-3.38344,,,,,,,,,,,,
Frome Valley Vineyard,Herefordshire,WR6 5BJ,England,www.fromevalleyvineyard.co.uk,1.5,52.14745,-2.48431,,,,,,,,,,,,
Fulbeck Gardens Vineyard,Lincolnshire,NG32 3HH,England,www.ownsworths.co.uk,1.144,53.04545,-0.57953,,,,,,,,,,,,
Furleigh Estate,Dorset,DT6 5JF,England,www.furleighestate.co.uk,5.5,50.78023,-2.77824,,,,,,,,,,,,
Furnace Farm Barn,Herefordshire,Not known,England,Not Available,0.1,54.451609,-0.858434,,,,,,,,,,,,
Furneaux Vineyard,Devon,PL2 3EU,England,Not Available,0.0001,50.38961,-4.15748,,,,,,,,,,,,
Galleywood Vineyard,Essex,CM2 7SX,England,www.galleywood.wine,2.83,51.69986,0.49946,,,,,,,,,,,,
Gelynis Vineyard - Hill Farm Vineyard,Vale of Glamorgan,CF72 8JY,Wales,Not Available,0.3,51.49104,-3.3803,,,,,,,,,,,,
Gelynis Vineyard - Morganstown,Cardiff,CF15 8LB,Wales,www.gelynisfarm.co.uk,0.3,51.52978,-3.25913,,,,,,,,,,,,
Giffords Hall Vineyard,Suffolk,IP29 4EX,England,www.giffordshall.co.uk,4.6,52.13092,0.6922,,,,,,,,,,,,
Glastonbury Vineyard,Somerset,Not known,England,Not Available,0.1,51.106284,-2.646793,,,,,,,,,,,,
Glyndŵr Vineyard,Vale of Glamorgan,CF71 7JF,Wales,www.glyndwrvineyard.co.uk,1.6488,51.45606,-3.46343,,,,,,,,,,,,
Godstone Vineyards,Surrey,RH9 8DQ,England,www.godstonevineyards.com,2,51.26393,-0.0623,,,,,,,,,,,,
Gog Magog Vineyard,Cambridgeshire,CB22 5AN,England,www.gogmagogvineyard.co.uk,0.33,52.15989,0.15608,,,,,,,,,,,,
Good Earth Vineyard,Lincolnshire,PE9 2QH,England,www.an-english-vineyard.blogspot.com,0.0144,52.64917,-0.48918,,,,,,,,,,,,
Good Easter Vineyard,Essex,CM1 4QH,England,Not Available,0.9874,51.78631,0.34533,,,,,,,,,,,,
Goodworth Clatford Vineyard,Hampshire,SP11 7HL,England,Not Available,0.4,51.1801,-1.47711,,,,,,,,,,,,
Gorsley Vineyard,Kent,CT4 6EH,England,facebook.com/gorsleyvineyard,1,51.21738,1.09675,,,,,,,,,,,,
Gote Vineyard (New Site),East Sussex,BN45 7BA,England,Not Available,14.85,50.91046,-0.20919,,,,,,,,,,,,
"Gote Vineyard, The",East Sussex,BN6 8RN,England,Not Available,6.475,50.90538,-0.08449,,,,,,,,,,,,
Grace Dieu Vineyard,Leicestershire,LE67 5AN,England,facebook.com/gracedieuvineyard,0.4,52.74797,-1.3613,,,,,,,,,,,,
Granary Hotel & Restaurant,Worcestershire,DY10 4BS,England,www.granary-hotel.co.uk,0.12,52.36015,-2.20924,,,,,,,,,,,,
Grange Estate Wines (Burges Field),Hampshire,SO21 1BL,England,www.thegrangewine.co.uk,10.4,51.09529,-1.22644,,,,,,,,,,,,
Grape Passions,Essex,CM8 3AA,England,www.grapepassions.co.uk,0.0396,51.81123,0.65371,,,,,,,,,,,,
Gravel Lane Vineyard,Essex,IG7 6DQ,England,facebook.com/GravelLaneVineyard,1,51.63422,0.11154,,,,,,,,,,,,
Great Barn Vineyard,East Sussex,TN33 0RB,England,Not Available,0.23,50.92326,0.51334,,,,,,,,,,,,
Great Canney Vineyard,Essex,CM3 6RP,England,Not Available,3.1,51.67322,0.6578,,,,,,,,,,,,
Great House Vineyard,Vale of Glamorgan,CF71 7LR,Wales,Not Available,0.33,51.44532,-3.44902,,,,,,,,,,,,
Great Ropers Vineyard,Suffolk,CO8 5JX,England,Not Available,0.2,51.98821,0.79212,,,,,,,,,,,,
Great Stocks Vineyard,Essex,CM4 9RB,England,www.newhallwines.co.uk,3.75,51.66888,0.46104,,,,,,,,,,,,
Great Whitmans Vineyard,Essex,CM3 6RW,England,Not Available,31.5662,51.67635,0.65212,,,,,,,,,,,,
Greenhill Estate (Stocklands Vineyard),Somerset,TA7 8PN,England,www.greenhillestate.co.uk,0.8094,51.15468,-2.94721,,,,,,,,,,,,
Greyfriars Vineyard,Surrey,GU3 1AG,England,www.greyfriarsvineyard.com,16.2,51.22606,-0.64649,,,,,,,,,,,,
Grove Estate Vineyard,Staffordshire,ST21 6ND,England,www.groveestatevineyard.co.uk,0.4,52.8755,-2.21372,,,,,,,,,,,,
Grove House Vineyard,Northamptonshire,NN29 7TQ,England,Not Available,2,52.27454,-0.70751,,,,,,,,,,,,
Guidfa Farm Vineyard,Powys,Not known,Wales,Not Available,0.1,50.637675,-3.344439,,,,,,,,,,,,
Guilden Gate Vineyard,Hertfordshire,SG8 5PD,England,www.guildengate.co.uk,0.2,52.0855,-0.06093,,,,,,,,,,,,
Gusbourne - Downfield Vineyard,West Sussex,PO18 0LY,England,www.gusbourne.com,9.3,50.88581,-0.67929,,,,,,,,,,,,
Gusbourne - Gusbourne Vineyard,Kent,TN26 2BE,England,www.gusbourne.com,60.5,51.04843,0.79839,,,,,,,,,,,,
Gusbourne - Halnaker Vineyard,West Sussex,PO18 0QS,England,www.gusbourne.com,3.9,50.8719,-0.69007,,,,,,,,,,,,
Gusbourne - Selhurst Vineyard,West Sussex,PO18 0LY,England,www.gusbourne.com,19,50.88581,-0.67929,,,,,,,,,,,,
Gwernaffield Vineyard,Flintshire,CH7 5DJ,Wales,www.gwernaffieldvineyard.co.uk,0.5,53.17171,-3.19315,,,,,,,,,,,,
Hale Valley Vineyard,Buckinghamshire,HP22 6NQ,England,halevalleywine.com,0.4,51.758,-0.72775,,,,,,,,,,,,
Halfpenny Green Vineyard,Staffordshire,DY7 5EP,England,www.halfpennygreenvineyards.co.uk,10.36,52.53108,-2.25144,,,,,,,,,,,,
Halletts Barn Vineyard,East Sussex,BN6 8TN,England,Not Available,0.273,50.93823,-0.10534,,,,,,,,,,,,
Ham Street Wines,Kent,TN26 2JX,England,hamstreetwines.co.uk,3.9408,51.06167,0.83307,,,,,,,,,,,,
Hamble Valley,Hampshire,SO32 2DA,England,Not Available,0.4,50.92555,-1.25783,,,,,,,,,,,,
Hambledon Vineyard,Hampshire,PO7 4RY,England,www.hambledonvineyard.co.uk,28.73,50.93507,-1.07779,,,,,,,,,,,,
Hambledon Vineyard - Meonhill Vineyard,Hampshire,PO7 4TE,England,www.hambledonvineyard.co.uk,3.48,50.96391,-1.06925,,,,,,,,,,,,
Hambledon Vineyard - New site,Hampshire,PO7 4RY,England,www.hambledonvineyard.co.uk,58.08,50.93507,-1.07779,,,,,,,,,,,,
Hanley Vineyard,Worcestershire,Not known,England,Not Available,0.1,51.668086,-2.630095,,,,,,,,,,,,
Hanna's Vineyard,Gloucestershire,GL5 5DE,England,Not Available,0.3333,51.72237,-2.21334,,,,,,,,,,,,
Hanwell Wine Estate,Nottinghamshire,LE14 3QG,England,www.hanwellwine.co.uk,2.5,52.84701,-1.0217,,,,,,,,,,,,
Harbourne Vineyard,Kent,TN26 3HD,England,www.harbournevineyard.co.uk,1.2,51.12608,0.72357,,,,,,,,,,,,
Harbours Hill Vineyard,Worcestershire,B60 4AG,England,Not Available,0.95,52.29231,-2.06659,,,,,,,,,,,,
Harden Vineyard,Kent,TN11 8DX,England,Not Available,3,51.16622,0.16048,,,,,,,,,,,,
Hargrove Estate,Shropshire,SY6 7DP,England,Not Available,1.25,52.52591,-2.74523,,,,,,,,,,,,
Harmony Vineyard,West Sussex,BN43 5YD,England,Not Available,1.566,50.8273,-0.28692,,,,,,,,,,,,
Harrow & Hope Vineyard,Buckinghamshire,SL7 3RD,England,www.harrowandhope.com,6.2,51.5918,-0.76335,,,,,,,,,,,,
Hattingley Valley Vineyard,Hampshire,GU34 5NQ,England,www.hattingleyvalley.co.uk,10.5,51.131,-1.08143,,,,,,,,,,,,
Hawkers Hill Vineyard,Norfolk,PE31 8JY,England,Not Available,1.8,52.94529,0.68281,,,,,,,,,,,,
Hawkwood Vineyard,London,E4 7UH,England,www.organiclea.org.uk,0.1,51.64072,-0.00292,,,,,,,,,,,,
Hazel End Vineyard,Essex,CM23 1HG,England,www.corylet.com,1.2199,51.89797,0.16506,,,,,,,,,,,,
Hazel Street Farm Vineyard,Kent,TN12 8EF,England,www.davenportvineyards.co.uk,17.1174,51.1292,0.4226,,,,,,,,,,,,
Hazelbrook Farm Vineyard,West Sussex,RH13 8PX,England,Not Available,0.27,50.97459,-0.39582,,,,,,,,,,,,
Hazlehurst Farm Vineyard,East Sussex,Not known,England,Not Available,0.1,50.769348,-1.596919,,,,,,,,,,,,
Heartenoake Vineyard,Kent,TN18 5EU,England,Not Available,3.8784,51.05721,0.51019,,,,,,,,,,,,
"Hebron Vineyard, The",Carmarthenshire,SA34 0XS,Wales,www.hebronvineyard.com,1.82,51.91873,-4.66779,,,,,,,,,,,,
Hedenham Hall Vineyard,Norfolk,NR35 2LF,England,Not Available,1.43,52.48657,1.40412,,,,,,,,,,,,
Hegdon Hill Vineyard,Herefordshire,HR7 4SL,England,Not Available,0.68,52.18313,-2.62758,,,,,,,,,,,,
Helmsley Walled Garden Vineyard,North Yorkshire,YO62 5AH,England,www.helmsleywalledgarden.org.uk,0.0001,54.24497,-1.06704,,,,,,,,,,,,
Hencote Vineyard,Shropshire,SY4 3AA,England,www.hencote.com,6.46,52.73297,-2.75169,,,,,,,,,,,,
Hendred Vineyard,Oxfordshire,OX12 8HR,England,www.hendredvineyard.co.uk,0.81,51.59999,-1.34393,,,,,,,,,,,,
Hengoed Vineyard,Shropshire,SY10 7EJ,England,Not Available,0.4,52.89602,-3.04716,,,,,,,,,,,,
Henners Vineyard,East Sussex,BN27 1RJ,England,www.hennersvineyard.co.uk,2.88,50.87851,0.32557,,,,,,,,,,,,
"Henniere Vineyard, La",Jersey,JE3 6HY,Channel Isles,Not Available,Not known,49.214799,2.05311,,,,,,,,,,,,
Henry's Field Vineyard,Bedfordshire,MK44 3DA,England,Not Available,Not known,52.19006,-0.33772,,,,,,,,,,,,
Heppington Vineyard,Kent,CT4 7AN,England,www.heppingtonvineyard.co.uk,6.25,51.2431,1.07515,,,,,,,,,,,,
Herdsman Vineyard,Lancashire,PR3 6BY,England,Not Available,0.5625,53.92529,-2.87988,,,,,,,,,,,,
Heron Farm Vineyard,Devon,EX14 3NZ,England,www.heron-farm.co.uk,1.5,50.79523,-3.21835,,,,,,,,,,,,
Herts Oak Farm Vineyard,Hertfordshire,EN10 7QJ,England,Not Available,0.3,51.73181,-0.07243,,,,,,,,,,,,
Hidden Spring Vineyard,East Sussex,TN21 0HG,England,www.hiddenspring.co.uk,5.53,50.93614,0.25436,,,,,,,,,,,,
Hidden Vineyard (Cowley Estate),Gloucestershire,GL7 5UH,England,Not Available,0.02,51.66898,-1.93119,,,,,,,,,,,,
High Clandon Vineyard,Surrey,GU4 7RP,England,www.highclandon.co.uk,0.4,51.24814,-0.47616,,,,,,,,,,,,
High Cross Vineyard,Leicestershire,LE17 5,England,Not Available,0.015,52.493758,-1.277119,,,,,,,,,,,,
High House Farm Vineyard (Cobble Hill),Norfolk,Not known,England,Not Available,0.1,51.655888,0.791414,,,,,,,,,,,,
Highdown Vineyard,West Sussex,BN12 6PG,England,www.highdown-vineyard.co.uk,2.5,50.82225,-0.44455,,,,,,,,,,,,
Higher Bumsley Vineyard,Devon,EX31 4PT,England,www.bumsley.co.uk,0.83,51.19631,-3.92659,,,,,,,,,,,,
Higher Plot Vineyard (Smith & Evans),Somerset,TA10 0QL,England,www.smithandevans.co.uk,1.05,51.05239,-2.83864,,,,,,,,,,,,
Higher Sandford Vineyard,Dorset,DT9 4RP,England,Not Available,0.2,50.98098,-2.53226,,,,,,,,,,,,
Highfields Farm,Kent,Not known,England,Not Available,3,51.97949,0.810519,,,,,,,,,,,,
Hilda's Field Vineyard,Suffolk,CO10 7AE,England,Not Available,0.09,52.05493,0.69202,,,,,,,,,,,,
Hilden Vineyard,Kent,TN11 9JX,England,hildenvineyard.co.uk,1.4,51.22715,0.26069,,,,,,,,,,,,
Hill House Cottage Vineyard (Tom Bunting),Suffolk,CO7 6LD,England,Not Available,5.3165,51.98636,0.95906,,,,,,,,,,,,
Hill House Farm Vineyard,Norfolk,NR16 2LL,England,Not Available,0.648,52.43183,0.95142,,,,,,,,,,,,
Hill View Farm Vineyard,Hampshire,SO21 1LE,england,Not Available,0.24,51.00939,-1.28321,,,,,,,,,,,,
Hillcross Vineyard,London,SM4 4EA,England,Not Available,0.1,51.39936,-0.2035,,,,,,,,,,,,
Hinstock Vineyard,Shropshire,TF9 2ST,England,Not Available,0.088,52.84403,-2.46973,,,,,,,,,,,,
Hoe Farm Vineyard,Worcestershire,WR13 6EP,England,Not Available,1.536,52.09159,-2.36355,,,,,,,,,,,,
Hole Farm Vineyard,Essex,Not known,England,Not Available,0.1,51.704715,-2.67817,,,,,,,,,,,,
Holford Arms Vineyard,Wiltshire,GL8 8QY,England,www.theholfordarms.co.uk,0.1,51.59344,-2.23665,,,,,,,,,,,,
Hollow Lane Vineyard,East Sussex,TN22 5JB,England,Not Available,1.8,50.95551,0.17194,,,,,,,,,,,,
Holmfirth Vineyard,West Yorkshire,HD9 2QR,England,www.holmfirthvineyard.com,1.932,53.55452,-1.80939,,,,,,,,,,,,
Holy Vale Wines Ltd,Isles of Scilly,TR21 0NT,England,www.star-castle.co.uk,0.6,49.92453,-6.29297,,,,,,,,,,,,
Home Farm House Vineyard,Lincolnshire,DN38 6EX,England,Not Available,0.34,53.54424,-0.39718,,,,,,,,,,,,
Hononton Farm Vineyard,Kent,TN12 7BX,England,www.adrianscripps.co.uk,1.65,51.14931,0.42329,,,,,,,,,,,,
Hooperhayne Vineyard,Devon,EX24 6SH,England,www.hooperhayne.com,1,50.74885,-3.10042,,,,,,,,,,,,
Hop Kilns Vineyard,Herefordshire,HR7 4LA,England,www.hopkilnsvineyard.co.uk,0.01,52.17128,-2.50194,,,,,,,,,,,,
Hope Valley Vineyard,Derbyshire,S32 1BR,England,www.hopevalleyvineyard.co.uk,0.6,53.33481,-1.64017,,,,,,,,,,,,
Horton Estate Vineyard,Dorset,BH21 7JG,England,Not Available,3.63,50.86922,-1.94842,,,,,,,,,,,,
Hulmston Vineyard,Hertfordshire,WD3 8EB,England,Not Available,0.0162,51.63403,-0.4948,,,,,,,,,,,,
Humbleyard Vineyard,Norfolk,NR14 8JT,England,www.humbleyardenglishwine.co.uk,2.83,52.56655,1.23479,,,,,,,,,,,,
Hundred Hills Vineyard,Oxfordshire,RG9 6HS,England,www.hundredhills.com,16.8,51.60334,-0.95667,,,,,,,,,,,,
Hungerhill Farm Vineyard,Bedfordshire,MK43 0QF,England,Not Available,2.8169,52.07325,-0.56634,,,,,,,,,,,,
Hunt Hall Farm Vineyard,Warwickshire,CV37 8AE,England,facebook.com/pg/HuntHallVineyard,4.3,52.15293,-1.78336,,,,,,,,,,,,
Hush Heath Estate,Kent,TN12 0HJ,England,www.hushheath.com,22.2942,51.14932,0.51345,,,,,,,,,,,,
Huxbear Vineyard,Devon,TQ13 0EH,England,www.huxbear.com,4,50.59927,-3.61879,,,,,,,,,,,,
Hye House Vineyard,East Sussex,TN33 9BX,England,Not Available,0.79,50.87833,0.49523,,,,,,,,,,,,
Inworth Hall Vineyard,Essex,CO5 9SN,England,Not Available,0.2,51.83096,0.72464,,,,,,,,,,,,
Iron Railway Vineyard,Surrey,RH1 3AL,England,Not Available,0.81,51.28599,-0.15448,,,,,,,,,,,,
Jabajak Vineyard,Carmarthenshire,SA34 0ED,Wales,www.jabajak.co.uk,1,51.85831,-4.57154,,,,,,,,,,,,
Jarrow House Vineyard (Malipion Vyd),Essex,CO7 7LP,England,Not Available,0.08,51.93372,0.99268,,,,,,,,,,,,
Jays Farm Vineyard,Hampshire,SO51 6DN,England,Not Available,0.5,50.98929,-1.54625,,,,,,,,,,,,
JBees Vineyard,Leicestershire,LE3 2GT,England,Not Available,0.0153,52.61472,-1.1734,,,,,,,,,,,,
Jenkyn Place Vineyard,Hampshire,GU10 5LU,England,www.jenkynplace.com,5.7,51.19449,-0.88144,,,,,,,,,,,,
JoJo's Vineyard,Oxfordshire,RG9 6EU,England,www.jojosvineyard.co.uk,2.2,51.60013,-0.97846,,,,,,,,,,,,
Kenton Park Estate,Devon,EX6 8NW,England,www.kentonparkestate.com,4.0469,50.63546,-3.49304,,,,,,,,,,,,
Kents Green Vineyard,Gloucestershire,GL19 3AJ,England,www.kentsgreenwine.co.uk,0.2,51.91358,-2.37815,,,,,,,,,,,,
Kerry Vale Vineyard,Shropshire,SY15 6HU,England,www.kerryvalevineyard.co.uk,2,52.52981,-3.11629,,,,,,,,,,,,
Kidmore Organic Vineyard,Oxfordshire,RG4 9AR,England,Not Available,1,51.5031,-0.98738,,,,,,,,,,,,
Kilcott Valley Vineyard,Gloucestershire,GL12 7RL,England,Not Available,0.12,51.60246,-2.31123,,,,,,,,,,,,
Kiln Copse Vineyard,Hampshire,PO17 6LG,England,Not Available,2.02,50.91233,-1.13441,,,,,,,,,,,,
Kingfishers' Pool Vineyard,Leicestershire,LE7 7LH,England,www.rothleywine.com,0.3,52.70503,-1.15638,,,,,,,,,,,,
King's Ransom Vineyard,Berkshire,SL6 9UB,England,Not Available,0.0308,51.56093,-0.75332,,,,,,,,,,,,
Kingwood Estate,Berkshire,RG4 9HY,England,Not Available,2,51.53157,-1.01815,,,,,,,,,,,,
Kinsbrook Vineyard (Orchard Farmhouse Vyd),West Sussex,RH13 0TR,England,Www.kinsbrookvineyard.co.uk,4.62,51.01691,-0.39189,,,,,,,,,,,,
Kinsbrook Vineyard (Picketty Vineyard),West Sussex,RH20 2LT,England,Www.kinsbrookvineyard.co.uk,4.3,50.95772,-0.42419,,,,,,,,,,,,
Knightor Winery - Portschatho Vineyard,Cornwall,TR2 5EH,England,www.knightor.com,2.7115,50.19128,-4.98116,,,,,,,,,,,,
Knightor Winery - Seaton Vineyard,Cornwall,PL13 1PA,England,www.knightor.com,2.3,50.37007,-4.40569,,,,,,,,,,,,
Knightor Winery & Restaurant,Cornwall,PL26 8YQ,England,www.knightor.com,0.03,50.36827,-4.76226,,,,,,,,,,,,
Knightshayes Vineyard,Devon,EX16 7RG,England,www.nationaltrust.org.uk,0.072,50.92987,-3.48143,,,,,,,,,,,,
Laithwaites - Virginia Water Vineyard,Surrey,GU25 4QE,England,www.laithwaites.co.uk,0.024,51.40879,-0.59213,,,,,,,,,,,,
